State_FIPS_Code,County_FIPS_Code,LBW,LBW_Ind,VLBW,VLBW_Ind,Premature,Premature_Ind,Under_18,Under_18_Ind,Over_40,Over_40_Ind,Unmarried,Unmarried_Ind,Late_Care,Late_Care_Ind,Infant_Mortality,Infant_Mortality_Ind,IM_Wh_Non_Hisp,IM_Wh_Non_Hisp_Ind,IM_Bl_Non_Hisp,IM_Bl_Non_Hisp_Ind,IM_Hisp,IM_Hisp_Ind,IM_Neonatal,IM_Neonatal_Ind,IM_Postneonatal,IM_Postneonatal_Ind,Brst_Cancer,Brst_Cancer_Ind,Col_Cancer,Col_Cancer_Ind,CHD,CHD_Ind,Homicide,Homicide_Ind,Lung_Cancer,Lung_Cancer_Ind,MVA,MVA_Ind,Stroke,Stroke_Ind,Suicide,Suicide_Ind,Injury,Injury_Ind,Total_Births,Total_Deaths
37,87,8.2,4,1.6,4,11.5,4,4.3,4,1.3,3,27.4,3,8,3,6,3,5.6,3,-1111.1,-1,-1111.1,-1,4.6,4,1.4,3,23.9,3,18.1,3,137.5,3,-1111.1,-1,57,4,18.5,3,57,4,22.1,4,29.3,4,2827,3269
37,89,7.9,4,1.3,3,12,4,4,4,1.9,4,27,3,8,3,5.9,3,5.9,3,-1111.1,-1,7.7,4,3.5,3,2.4,4,21.6,3,20.1,4,129.1,3,5.1,4,51.2,3,19.3,3,52.6,3,11.8,3,27.2,4,5403,5521
37,91,13.2,4,3.5,4,17.2,4,10.4,4,1.2,4,60.9,4,17.2,3,17.5,4,12.7,4,19.1,4,-1111.1,-1,14.7,4,2.7,3,29.7,4,28.8,4,209.5,3,7.2,3,75.3,4,32.4,3,94.1,4,7,3,28.5,4,2896,2813
37,93,9.4,4,2.1,4,14.1,4,5.7,4,0.8,3,40.7,4,16.4,3,9.2,4,7.3,4,14,4,7.5,4,6.5,4,2.7,3,30.2,4,20.8,3,206.4,3,11.8,4,77.3,4,30.5,4,64.1,3,5.8,3,15.7,3,3380,1211
37,95,8.8,4,2.5,4,14.9,4,4.7,3,2.7,4,36,4,21.4,3,15.9,4,-1111.1,-1,32.3,4,-1111.1,-1,9.9,4,6,4,30.6,4,29.3,4,252.7,4,-1111.1,-1,58,3,24.5,3,58.6,3,16.5,4,-1111.1,-1,558,677
37,97,9.3,4,1.7,4,12.9,4,4.1,4,2,3,31.1,4,22.4,4,8.5,4,6.6,4,18.1,4,9.5,4,4.4,4,4.1,4,19.8,3,22.7,4,172.5,4,4.8,4,57.6,4,23.1,4,66.7,4,10.7,3,23,4,5876,3387
37,99,6.8,3,1.6,4,11.3,3,3.8,3,1.5,4,32.2,4,9.5,3,8.3,4,7.8,4,-1111.1,-1,-1111.1,-1,6.1,4,2.2,3,23.4,4,19.7,4,154.7,3,-1111.1,-1,54,3,18.8,3,60.2,3,11.7,3,32.9,4,1808,1557
37,101,7.6,3,1.5,4,12.9,4,3.7,4,1.6,3,27.4,3,20.4,4,7.7,4,5.7,3,17.1,4,8.1,4,4.9,4,2.8,4,23.5,3,18.8,3,235.5,4,6.5,4,63.2,4,28.8,4,62.7,4,13.3,4,20.6,3,6353,2956
37,103,11.4,4,1.3,3,13,3,8.6,3,1.3,4,37.4,3,24.5,4,10.3,4,7.6,4,-1111.1,-1,-1111.1,-1,4.6,3,5.7,4,27,4,27.8,4,216,3,-1111.1,-1,65.1,4,24.6,3,94.1,4,12.4,4,24.1,3,994,1171
37,105,8.7,4,1.5,4,13.6,4,5.9,4,1.7,4,41.7,4,22.5,4,6.9,4,6.5,4,9.1,4,6.6,4,5.3,4,1.7,3,25.4,3,21.5,4,203,4,14.8,4,58.5,3,24.7,4,65.4,4,9.5,3,26.5,4,4177,2378
37,107,11.1,4,2.4,4,16.6,4,7,4,1.4,4,50.1,4,24.2,4,13.4,4,7.7,4,19.3,4,-1111.1,-1,6.7,4,6.7,4,33.3,4,21.8,3,247.6,4,11.1,4,60.7,3,28.1,4,78.8,4,15.3,4,32,4,4043,3586
37,109,8.1,4,1.9,4,12.1,4,4.1,4,1,3,27.4,4,14.5,4,7.3,4,6.4,4,26.4,4,-1111.1,-1,5.4,4,1.8,3,23,3,22.1,4,202.4,4,6.6,4,60.7,4,21.1,4,69.7,4,14.1,4,22.2,4,4405,2810
37,111,8.9,4,1.5,4,13.1,4,4.4,4,1.1,3,25,3,11.2,3,8.9,4,8.3,4,-1111.1,-1,-1111.1,-1,5.2,4,3.7,4,12.7,3,20.9,3,167.6,3,4.4,4,58.3,3,23.3,4,54.2,3,13.1,3,18.2,3,2135,1811
37,113,7,3,1.2,3,11.4,3,4,3,2.5,4,26.8,3,10.3,3,9,4,9.8,4,-1111.1,-1,-1111.1,-1,7.1,4,1.9,3,24.5,3,15.7,3,145.2,3,-1111.1,-1,50,3,18.5,3,61.7,3,15.6,4,31.1,4,1552,1904
37,115,8.5,4,1.3,4,10.4,3,4.5,3,1.9,4,23.8,3,6.1,3,5.6,3,5.8,3,-1111.1,-1,-1111.1,-1,3.6,3,2,3,31.4,4,15.5,3,170.1,3,5.3,4,56.7,3,19.2,3,68.8,4,15.5,4,23.9,3,2180,2097
37,117,11.4,4,2.8,4,17.5,4,6.4,3,0.8,3,47.2,4,15.4,3,9.9,3,8.5,3,11.4,3,-1111.1,-1,6.1,4,3.8,3,28.1,3,23.6,4,283.9,4,15,4,76.5,4,35,4,86.5,4,13.6,3,25.8,3,2123,1954
37,119,8.6,4,1.7,4,12.2,3,3.1,3,2.6,4,32.8,3,14.8,3,7.6,3,4.7,3,14.6,4,4.6,3,5.4,4,2.2,3,26.9,3,18.8,3,133.9,3,9,4,48.8,3,11.7,3,64.8,4,10.4,3,18.5,3,36551,13844
37,121,8,4,1.6,4,11,3,4.2,3,1.9,4,18.5,3,10,3,9,4,9.4,4,-1111.1,-1,-1111.1,-1,7.6,4,1.4,3,21.6,3,19.2,3,211.6,4,-1111.1,-1,62.3,4,13.1,3,79.6,4,14.9,4,36,4,1607,1975
37,123,8.4,4,1.4,4,14.2,4,7.6,4,1,3,39.5,4,28.7,4,6.7,3,7.3,4,9.8,4,2.3,4,4.8,3,2,3,26.1,3,21.9,4,201.8,3,10.7,4,57.7,3,29.3,3,61.2,3,13.8,3,26.9,3,3933,2509
37,125,9,4,1.7,4,14.3,4,4.9,4,1.6,3,34.6,4,20,4,8.4,4,7.6,4,13.1,4,-1111.1,-1,5.3,4,3.1,4,20.1,3,19.6,3,151.2,3,7.9,4,56.8,3,27.7,4,62,4,9.9,3,19.5,3,4523,4355
